Rank,Category,Asset,Project,Chain,Symbol,TVL,APY
38,Lending,Stable,morpho-blue,Base,BBQUSDC,25125293.0,5.50856
39,Dexs,Stable,aerodrome-slipstream,Base,MSUSD-USDC,24173600.0,1.894
40,Lending,Stable,morpho-blue,Base,FRUSDC,23809368.0,4.51952
41,Lending,BTC,navi-lending,Sui,MBTC,23216603.0,0.0
42,Lending,SUI,navi-lending,Sui,HASUI,21896970.0,1.44518
43,Dexs,LPETH,aerodrome-v1,Base,WETH-MSETH,21848743.0,2.08611
44,Lending,Stable,navi-lending,Sui,BUCK,19341153.0,0.12315
45,Lending,Stable,aave-v3,Base,SYRUPUSDC,18899897.0,0.0
46,Dexs,LPETH,aerodrome-slipstream,Base,WETH-USDC,18252911.0,43.54961
47,Dexs,LPETH,aerodrome-slipstream,Base,WETH-CBBTC,17946214.0,26.84899
48,Lending,ETH,aave-v3,Base,CBETH,17570808.0,0.01126
49,Lending,AHYPER,morpho-blue,Monad,AHYPER,17355515.0,0.0
50,Lending,Stable,morpho-blue,Monad,HYPERUSDCA,17307628.0,7.26442
51,Lending,BTC,morpho-blue,Monad,HYPERCBBTCA,15270694.0,3.98631
52,Lending,Stable,neverland,Monad,USDC,13803574.0,8.59441
53,Lending,Stable,morpho-blue,Monad,AUGUSTUSDCV2,12939420.0,6.78798
54,Dexs,LPBTC,aerodrome-slipstream,Base,USDC-CBBTC,12415341.0,66.3597
55,Lending,SUI,navi-lending,Sui,VSUI,11328470.0,1.81739
56,Lending,BTC,morpho-blue,Monad,WBTC,10905822.0,0.0
57,Lending,Stable,neverland,Monad,AUSD,10474589.0,8.55769
58,Dexs,LPB18,uniswap-v2,Base,USDC-B18,10363475.0,5.82588
59,Lending,Stable,morpho-blue,Base,MWUSDC,10096830.0,5.54597
60,Lending,SUI,navi-lending,Sui,SUI,10065334.0,2.34544
61,Dexs,LPETH,aerodrome-v1,Base,WETH-VVV,9717268.0,36.52544
62,Dexs,LPBTC,uniswap-v3,Base,USDC-CBBTC,9669474.0,19.03949
63,Lending,Stable,curvance,Monad,EARNAUSD,9505462.0,1.83162
64,Dexs,LPETH,uniswap-v3,Base,WETH-CBBTC,9277138.0,1.20885
65,Lending,Stable,morpho-blue,Base,SPARKUSDC,8943659.0,4.07122
66,Lending,BTC,morpho-blue,Monad,TRIBTC,8504013.0,0.0
67,Lending,ETH,morpho-blue,Base,MWETH,8497271.0,2.33853
68,Lending,ETH,morpho-blue,Base,WSTETH,8393280.0,0.0
69,Dexs,Stable,aerodrome-v1,Base,MSUSD-USDC,8127294.0,5.63608
70,Lending,Stable,neverland,Monad,USDT0,8126369.0,6.48147
71,Dexs,LPETH,aerodrome-v1,Base,WETH-USDC,7971129.0,4.272
72,Onchain Capital Allocator,Stable,ember-protocol,Sui,USDC,7884305.0,2.59628
73,Dexs,LPVVV,aerodrome-v1,Base,VVV-DIEM,7619458.0,1.67266
74,Lending,LPGROVE,morpho-blue,Monad,GROVE-BBQAUSD,7611041.0,7.0577
75,Lending,Stable,morpho-blue,Monad,EARNAUSD,7441576.0,0.0
76,Lending,ETH,morpho-blue,Base,GTMSETHC,6920140.0,2.00232
77,Lending,STEAKEURC,morpho-blue,Base,STEAKEURC,6745737.0,1.21676
78,Onchain Capital Allocator,SUI,ember-protocol,Sui,SUI,6507091.0,5.06339
79,Lending,ETH,morpho-blue,Base,WSUPEROETHB,6087894.0,0.0
80,Lending,Stable,navi-lending,Sui,USDC,6019054.0,4.88355
81,Lending,Stable,curvance,Monad,SAVUSD,5603800.0,0.0
82,Dexs,LPETH,aerodrome-v1,Base,WETH-KTA,5489782.0,2.83709
83,Lending,EURC,aave-v3,Base,EURC,5488342.0,1.62274
84,Lending,ETH,morpho-blue,Base,CBETH,5275775.0,0.0
85,Dexs,LPMAG7.SSI,uniswap-v3,Base,USDC-MAG7.SSI,5009885.0,5.50005
86,Lending,ETH,euler-v2,Monad,WETH,4989328.0,4.05892
87,Lending,DEEP,navi-lending,Sui,DEEP,4729994.0,16.52557
88,Dexs,LPETH,uniswap-v2,Base,WETH-DINO,4664705.0,1.13236
89,Dexs,LPVVV,aerodrome-slipstream,Base,VVV-DIEM,4582558.0,46.00493
90,Dexs,LPVIRTUAL,aerodrome-v1,Base,VIRTUAL-WETH,4523912.0,14.97616
91,Lending,CBDOGE,morpho-blue,Base,CBDOGE,4523709.0,0.0
92,Lending,BTC,morpho-blue,Monad,MHYPERBTC,4492570.0,0.0
93,Dexs,LPETH,aerodrome-slipstream,Base,WETH-SUPEROETHB,4434702.0,1.67595
94,Dexs,LPBTC,aerodrome-slipstream,Base,CBBTC-LBTC,4399005.0,1.92886
95,Dexs,LPHASUI,cetus-clmm,Sui,HASUI-SUI,4397783.0,0.08583
96,Lending,Stable,morpho-blue,Monad,BBQUSD1,3989392.0,7.50672
97,Dexs,LPSUI,cetus-clmm,Sui,USDC-SUI,3918492.0,89.46373
98,Lending,WAL,navi-lending,Sui,WAL,3834381.0,14.26299
99,Lending,CBADA,morpho-blue,Base,CBADA,3793210.0,0.0
100,Dexs,LPDESPXA,uniswap-v3,Base,USDC-DESPXA,3690485.0,7.42869
101,Dexs,LPETH,aerodrome-slipstream,Base,WETH-VVV,3624396.0,18.95353
102,Lending,Stable,morpho-blue,Monad,WSRUSD,3534562.0,0.0
103,Dexs,LPSUI,bluefin-spot,Sui,SUI-USDC,3452522.0,66.31814
104,Lending,SUI,scallop-lend,Sui,SUI,3412339.0,3.0467
105,Dexs,LPBALD,uniswap-v3,Base,BALD-WETH,3405256.0,0.02596
106,Lending,BTC,navi-lending,Sui,LBTC,3374831.0,2.04789
107,Lending,Stable,neverland,Monad,EARNAUSD,3335482.0,2.64015
108,Lending,Stable,morpho-blue,Base,YOUSD,3335187.0,0.0
109,Dexs,LPMPP,uniswap-v3,Base,MPP-USDC,3251619.0,0.38562
110,Lending,Stable,morpho-blue,Monad,SYZUSD,3065563.0,0.0
111,Dexs,LPETH,aerodrome-slipstream,Base,WETH-AERO,3030875.0,10.26891
112,Lending,MHYPER,morpho-blue,Monad,MHYPER,3010075.0,0.0
113,Dexs,LP$OLIVIA2.0,uniswap-v3,Base,$OLIVIA2.0-USDC,2995147.0,6.35413
114,Lending,Stable,morpho-blue,Base,CSUSDC,2917773.0,8.70921
115,Lending,SOL,morpho-blue,Base,SOL,2794682.0,0.0
116,Dexs,LPETH,aerodrome-v1,Base,WETH-AERO,2785508.0,4.11157
117,Dexs,LPMAI,aerodrome-v1,Base,USDC-MAI,2776473.0,8.40226
118,Dexs,LPETH,uniswap-v3,Base,WETH-AIRDROP,2768667.0,0.00032
119,Dexs,LPBNKR,uniswap-v3,Base,BNKR-WETH,2763682.0,219.84159
120,Lending,Stable,navi-lending,Sui,USDSUI,2753545.0,7.56696
121,Dexs,LPETH,uniswap-v3,Base,WETH-BORED,2746369.0,2e-05
122,Lending,NAVX,navi-lending,Sui,NAVX,2689930.0,0.00949
123,Lending,LPPT,morpho-blue,Base,PT-APXUSD-18JUN2026,2627408.0,0.0
124,Lending,ETH,morpho-blue,Base,GTWETHB,2615535.0,3.01487
125,Lending,ETH,navi-lending,Sui,SUIETH,2551310.0,0.85451
126,Lending,ETH,neverland,Monad,WETH,2532967.0,7.31435
127,Dexs,LPETH,aerodrome-v1,Base,WETH-FAI,2523184.0,21.31325
128,Lending,Stable,curvance,Monad,SYZUSD,2427507.0,0.2
